521.000000  	541.000000 
520.408019  	559.837156 
518.634410  	578.599970 
515.686175  	597.214394 
511.574948  	615.606966 
506.316955  	633.705098 
499.932946  	651.437366 
492.448116  	668.733787 
483.892004  	685.526102 
474.298378  	701.748038 
463.705098  	717.335576 
452.153973  	732.227197 
439.690588  	746.364132 
426.364132  	759.690588 
412.227197  	772.153973 
397.335576  	783.705098 
381.748038  	794.298378 
365.526102  	803.892004 
348.733787  	812.448116 
331.437366  	819.932946 
313.705098  	826.316955 
295.606966  	831.574948 
277.214394  	835.686175 
258.599970  	838.634410 
239.837156  	840.408019 
221.000000  	841.000000 
202.162844  	840.408019 
183.400030  	838.634410 
164.785606  	835.686175 
146.393034  	831.574948 
128.294902  	826.316955 
110.562634  	819.932946 
93.266213  	812.448116 
76.473898  	803.892004 
60.251962  	794.298378 
44.664424  	783.705098 
29.772803  	772.153973 
15.635868  	759.690588 
2.309412  	746.364132 
2.309412  	335.635868 
15.635868  	322.309412 
29.772803  	309.846027 
44.664424  	298.294902 
60.251962  	287.701622 
76.473898  	278.107996 
93.266213  	269.551884 
110.562634  	262.067054 
128.294902  	255.683045 
146.393034  	250.425052 
164.785606  	246.313825 
183.400030  	243.365590 
202.162844  	241.591981 
221.000000  	241.000000 
239.837156  	241.591981 
258.599970  	243.365590 
277.214394  	246.313825 
295.606966  	250.425052 
313.705098  	255.683045 
331.437366  	262.067054 
348.733787  	269.551884 
365.526102  	278.107996 
381.748038  	287.701622 
397.335576  	298.294902 
412.227197  	309.846027 
426.364132  	322.309412 
439.690588  	335.635868 
452.153973  	349.772803 
463.705098  	364.664424 
474.298378  	380.251962 
483.892004  	396.473898 
492.448116  	413.266213 
499.932946  	430.562634 
506.316955  	448.294902 
511.574948  	466.393034 
515.686175  	484.785606 
518.634410  	503.400030 
520.408019  	522.162844 
